# Model curve derived from Murakami et al. (2007) EPSL 256, 47-54
# DOI: 10.1016/j.epsl.2007.01.011
# Paper values: G0=172.9 GPa, G'=1.56 (Brillouin, this paper)
# Adopted EoS:  K0=253 GPa,  K'=3.9 (Fiquet/Stixrude, cited in paper)
# Sample: pure MgSiO3 perovskite (bridgmanite), T=300 K
# NOTE: Vp values are derived from the adopted bulk modulus EoS.
# In the original paper Vp could not be measured directly because
# the Brillouin signal overlapped the diamond anvil.
# Uncertainties reflect Murakami 2007 ambient-pressure error bars (Vs ±30 m/s).
P(GPa),T(K),Vp(m/s),Vs(m/s),Density(g/cm3),SigmaVp(m/s),SigmaVs(m/s),SigmaDensity(g/cm3)
0.001,300,10878.6,6488.6,4.1068,30.0,30.0,0.0200
5.000,300,11096.2,6567.0,4.1857,30.0,30.0,0.0200
10.000,300,11299.0,6638.7,4.2607,30.0,30.0,0.0200
15.000,300,11489.2,6704.5,4.3321,30.0,30.0,0.0200
20.000,300,11668.3,6765.2,4.4005,30.0,30.0,0.0200
30.000,300,11998.4,6873.6,4.5294,30.0,30.0,0.0200
40.000,300,12297.4,6967.8,4.6495,30.0,30.0,0.0200
50.000,300,12571.0,7050.2,4.7622,30.0,30.0,0.0200
60.000,300,12823.5,7123.0,4.8687,30.0,30.0,0.0200
70.000,300,13058.0,7187.5,4.9698,30.0,30.0,0.0200
80.000,300,13277.1,7244.9,5.0663,30.0,30.0,0.0200
90.000,300,13482.8,7296.0,5.1587,30.0,30.0,0.0200
96.000,300,13600.4,7324.1,5.2123,30.0,30.0,0.0200
